,id,price,beds,baths,address,postal_code,state,city
279,3602934553,799500,3.0,2.0,64 Homewood Dr,11946,NY,Hampton Bays
280,3994541251,699000,5.0,3.0,16 North Rd,11790,NY,Stony Brook
281,4980510625,849000,4.0,4.0,42 Yuma Ln,11730,NY,East Islip
282,3835670791,659000,3.0,2.0,20 Seneca Dr,11725,NY,Commack
283,4164703873,888200,2.0,3.0,50 Hubbard Ln Unit 27,11968,NY,Southampton
284,4879427719,569000,4.0,2.0,700 Pine Ave,11795,NY,West Islip
285,3136891017,849000,3.0,4.0,23 Daniels Way Unit 23,11706,NY,Bay Shore
286,3719509699,459990,3.0,1.0,1399 Pulaski St,11901,NY,Riverhead
287,9302762198,1250000,4.0,4.0,26 Third St,11937,NY,East Hampton
288,3461805373,575000,4.0,2.0,22 Court Dr,11746,NY,Huntington Station
289,4807292227,399999,3.0,2.0,28 Presford Dr,11967,NY,Shirley
290,9899227058,4250000,4.0,5.0,58 David Whites Ln Unit C2,11968,NY,Southampton
291,3551192735,399000,5.0,2.0,46 Nathalie Ave,11701,NY,Amityville
292,4394409216,799000,4.0,3.0,16 Wesleyan Rd,11725,NY,Commack
293,3675883692,699000,4.0,4.0,9 Keystone Ct,11720,NY,Centereach
294,4280690250,599999,5.0,2.0,428 Fir Grove Rd,11779,NY,Ronkonkoma
295,4514122280,549000,4.0,4.0,49 W Fort Salonga Rd,11768,NY,Northport
296,4638545375,339000,2.0,2.0,173 Birchwood Rd Unit 173,11763,NY,Medford
297,4409592902,549995,3.0,1.0,804 7th St,11704,NY,West Babylon
298,3635363201,520000,4.0,2.0,97 Sunrise Ave,11901,NY,Riverhead
299,4039996805,1099000,3.0,4.0,91 Harbor Rd,11780,NY,Head of the Harbor
300,9913052969,275000,1.0,1.0,153 Cypress Dr,11951,NY,Mastic Beach
301,4062638203,1175000,3.0,2.0,36 Harbor Rd,11780,NY,Head of the Harbor
302,4027317274,1850000,4.0,4.0,31 Oakwood Dr,11743,NY,Lloyd Harbor
303,3727776441,279900,2.0,1.0,50 Rockland Ave,11704,NY,West Babylon
304,3904327955,599000,4.0,2.0,173 29th St,11757,NY,Lindenhurst
305,3209230509,479000,4.0,3.0,310 Locust Dr,11778,NY,Rocky Point
306,4389620802,669000,2.0,2.0,34 Shinnecock Ave,11942,NY,East Quogue
307,4590642558,725000,4.0,2.0,116 Jones Ave,11777,NY,Port Jefferson
308,9682403399,3200000,3.0,2.0,1 Liano Dr,11975,NY,Wainscott
309,3670751661,240000,2.0,1.0,39 Abby Ln,11967,NY,Shirley
310,3924382443,274900,1.0,1.0,100 Root Ave,11751,NY,Islip
311,3710362209,1395000,4.0,3.0,31 Sarah Dr,11746,NY,Dix Hills
312,9784857122,3200000,3.0,2.0,1 Liano Dr,11937,NY,East Hampton
313,4374513575,11000000,7.0,13.0,235 Middle Line Hwy,11968,NY,Water Mill
314,4160413214,679000,3.0,3.0,20 Albany St,11729,NY,Deer Park
315,3647622809,639000,6.0,2.0,62 Laurie Rd,11717,NY,Brentwood
316,3115812803,3275000,4.0,5.0,468 Blank Ln,11976,NY,Water Mill
317,3746019082,189000,3.0,1.0,42 Overland Ave,11701,NY,Amityville
318,4184002373,559900,3.0,3.0,19 Orange Ave,11776,NY,Port Jefferson Station
319,4089787772,799000,4.0,2.0,81 Madison St,11743,NY,Huntington
320,4075666426,624999,4.0,3.0,19 Sherwood Ct,11779,NY,Ronkonkoma
321,9502433800,205000,2.0,1.0,1661 Old Country Rd Unit 231,11901,NY,Riverhead
322,4097286267,599000,4.0,2.0,267 N 3rd Ave,11706,NY,Bay Shore
323,9512884620,470000,5.0,3.0,236 Forest Rd W,11951,NY,Mastic Beach
324,4718707230,675000,4.0,2.0,1434 N Clinton Ave,11706,NY,Bay Shore
325,4106468913,499000,4.0,2.0,83 Pleasant St,11743,NY,Huntington
326,4963211708,279999,2.0,2.0,233 Sagamore Hills Dr,11776,NY,Port Jefferson Station
327,4260941473,425000,4.0,2.0,53 Doolittle St,11717,NY,Brentwood
328,3227830190,265000,2.0,1.0,267 Berwick Ct Unit B,11961,NY,Ridge
329,4394422851,499999,5.0,3.0,31 Cloverlook Ln,11722,NY,Central Islip
330,4352522633,599000,5.0,2.0,7 West Ct,11795,NY,West Islip
331,4421719894,1549000,4.0,4.0,48 Bayberry Ln,11768,NY,Northport
332,4218123974,369900,3.0,1.0,1407 Lombardy Blvd,11706,NY,Bay Shore
333,4115282904,619000,4.0,3.0,7 Club House Ln,11949,NY,Manorville
334,4061138303,499000,4.0,1.0,4 Cherokee Dr,11706,NY,Bay Shore
335,3821577080,699888,4.0,3.0,66 Thomas St,11727,NY,Coram
336,3895903743,699990,3.0,4.0,1 Audubon Gate,11764,NY,Miller Place
337,3886473197,649000,3.0,3.0,18 Fern Dr,11725,NY,Commack
338,3951962389,525000,4.0,2.0,1136 William Floyd Pkwy,11967,NY,Shirley
