,id,price,beds,baths,sqft,address,postal_code,state,city
388,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
389,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
390,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
391,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
392,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
393,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
394,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
395,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
396,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
397,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
398,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
399,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
400,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
401,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
402,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
403,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
404,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
405,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
406,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
407,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
408,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
409,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
410,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
411,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
412,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
413,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
414,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
415,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
416,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
417,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
418,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
419,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
420,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
421,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
422,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
423,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
424,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
425,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
426,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
427,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
428,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
429,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
430,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
431,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
432,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
433,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
